"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-03-09","0.39",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-03-19","1.05",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-03-21","0.10",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-03-31","0.30",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-04-13","0.15",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-04-17","0.50",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-05-16","0.40",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-05-25","0.93",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-05-28","0.10",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-06-06","0.04",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-06-09","0.53",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-06-25","0.60",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-06-26","0.06",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-07-15","0.23",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-07-29","0.20",",,N"
"US1COAD0231","DENVER 5.9 NW, CO US","39.79344","-105.03335","1619.1","2020-08-26","0.10",",,N"
